datetime,text_length,user_verified,sadness,joy,love,anger,fear,surprise,num_tweets
2019-11-12 00:00:00+00:00,170.22222222222223,0.0,0.00835482243888287,0.9195160071055094,0.002746250891100822,0.04217371284741805,0.025870123393057536,0.001339138964087599,9
2019-11-13 00:00:00+00:00,94.71428571428571,0.0,0.08773509399699313,0.5953896130834307,0.0062464614664869645,0.19402952811547688,0.11177610885351896,0.00482320092019758,7
2019-11-14 00:00:00+00:00,229.25,0.0,0.025049782474525273,0.7546042054891586,0.003832603397313505,0.16251249331980944,0.05158591258805245,0.0024149901146302,4
2019-11-15 00:00:00+00:00,144.42857142857142,0.0,0.032365720839672055,0.7749103231444245,0.0037607458999402645,0.1049065856537449,0.03769550329611991,0.04636112700488108,21
2019-11-16 00:00:00+00:00,160.33333333333334,0.0,0.02091541645737986,0.8204238414764404,0.0038318637719688318,0.0838449914008379,0.06820110875802736,0.0027827750018332154,6
2019-11-17 00:00:00+00:00,120.88888888888889,0.0,0.03328958940174845,0.8447584509849548,0.004739382097290622,0.08525616334130366,0.029584330881738827,0.0023720988732141754,9
2019-11-18 00:00:00+00:00,125.75,0.0,0.03678707662038505,0.7298064976930618,0.018954942584969103,0.15479916636832058,0.05552846231148578,0.004123870152398013,4
2019-11-19 00:00:00+00:00,259.42857142857144,0.0,0.0071701634650318214,0.9355085321835109,0.0017424352699890733,0.03378070941211523,0.020559055655862073,0.0012391107447911054,7
2019-11-20 00:00:00+00:00,218.0,0.0,0.028968374244868755,0.7581305702527364,0.004246050375513732,0.1363909225910902,0.06938121312608321,0.0028828526264987886,3
2019-11-21 00:00:00+00:00,212.0,0.0,0.026273236144334078,0.7817992269992828,0.004159664793405682,0.13916784198954701,0.0458916206844151,0.002708483167225495,2
2019-11-22 00:00:00+00:00,129.5,0.0,0.0005632055253954605,0.9979527294635773,0.0005042248812969774,0.0005247874796623364,0.0002598334249341861,0.00019520482601365075,2
2019-11-23 00:00:00+00:00,171.14285714285714,0.0,0.09166179048146919,0.6339530129251736,0.0035654133327105747,0.16721140715318533,0.10068230271385151,0.0029260374618128742,14
2019-11-24 00:00:00+00:00,145.85714285714286,0.0,0.06250377161250938,0.772030282737909,0.0032025639548443167,0.07762202611082189,0.041844608890685434,0.042796761930471154,21
2019-11-25 00:00:00+00:00,150.57692307692307,0.0,0.0723516030803484,0.6489086661760946,0.0031402697551619406,0.20048599349963928,0.05306801166275713,0.022045454222769385,52
2019-11-26 00:00:00+00:00,161.67567567567568,0.0,0.015364661073387676,0.6965962835033802,0.004616045301805275,0.19127850068105398,0.08910971541961378,0.003034797261903264,37
2019-11-27 00:00:00+00:00,109.14285714285714,0.0,0.045772750612481365,0.7476015217779648,0.004349124204184461,0.1350388824052754,0.06220075328539159,0.005036946761676864,42
2019-11-28 00:00:00+00:00,115.94736842105263,0.0,0.06320321723959703,0.7021754572357933,0.003769686723994949,0.18747546378328575,0.04037206750638832,0.0030041108349044073,38
2019-11-29 00:00:00+00:00,126.52173913043478,0.0,0.08253250299236717,0.6989320778546085,0.003416799084136627,0.14697952305710793,0.0645917530909292,0.0035473242140774937,46
2019-11-30 00:00:00+00:00,133.32,0.0,0.04232933885359671,0.7888822882249952,0.003108035725308582,0.11046663566492498,0.05055632133007748,0.004657398868002928,50
2019-12-01 00:00:00+00:00,148.07407407407408,0.0,0.047514409367404704,0.735324495188521,0.0035658560949808882,0.1604727267549606,0.050433401051796625,0.0026891062152571976,54
2019-12-02 00:00:00+00:00,117.51219512195122,0.0,0.05338020255667067,0.6762420876063804,0.0035398741570023093,0.19035669490297483,0.07335186368720492,0.0031292852626193498,41
2019-12-03 00:00:00+00:00,140.52307692307693,0.0,0.02708199668648796,0.745824238514671,0.004162311617983505,0.15461779187048355,0.06525828375944491,0.003055369330999943,65
2019-12-04 00:00:00+00:00,147.22727272727272,0.0,0.05294604019317459,0.8015857925122625,0.01427503562643489,0.09138510600843636,0.03720823816911434,0.0025998052700412122,44
2019-12-05 00:00:00+00:00,144.10204081632654,0.0,0.0780002356896519,0.632074143880104,0.00451391916282532,0.19330932191223837,0.08897991727429386,0.003122452399111353,49
